condition_if,consequence_then,label
If a conservation easement exists on the land,Then it is generally permitted or legally valid.,Yes
If a handwritten note is a handwritten note always sufficient to transfer farmland ownership,Then it is generally not permitted or has no legal effect.,No
If something is agricultural land often exempt from some property development taxes,Then it is generally permitted or legally valid.,Yes
If someone uses land continuously without permission,Then it is generally permitted or legally valid.,Yes
If agricultural land often exempt from some property development taxes,Then it is generally permitted or legally valid.,Yes
If a handwritten note is a farmer entitled to compensation if government action results in loss of productive land,Then it is generally permitted or legally valid.,Yes
If someone makes an oral lease agreement for farmland,Then it is generally permitted or legally valid.,Yes
If trespassing on private farmland allowed for environmental inspection without consent,Then it is generally not permitted or has no legal effect.,No
If a handwritten note is a farmer entitled to compensation if government action results in loss of productive land,Then it is generally permitted or legally valid.,Yes
If something something people does zoning laws affect the ability to convert farmland into commercial use,Then it is generally permitted or legally valid.,Yes
If something is farmland excluded from inheritance taxation under all circumstances,Then it is generally not permitted or has no legal effect.,No
If someone uses land continuously without permission,Then it is generally permitted or legally valid.,Yes
If farmland eligible for tax breaks if's kept in agricultural use,Then it is generally permitted or legally valid.,Yes
If farmland immune from eminent people domain proceedings,Then it is generally not permitted or has no legal effect.,No
If someone might someone has a minor legally transfer title of farmland without court involvement,Then it is generally not permitted or has no legal effect.,No
If farmland excluded from inheritance taxation under all circumstances,Then it is generally not permitted or has no legal effect.,No
If farmland excluded from inheritance taxation under all circumstances,Then it is generally not permitted or has no legal effect.,No
If something is farmland excluded from inheritance taxation under all circumstances,Then it is generally not permitted or has no legal effect.,No
If something is farmland eligible for tax breaks if's kept in agricultural use,Then it is generally permitted or legally valid.,Yes
If someone is able to someone has a minor legally transfer title of farmland without court involvement,Then it is generally not permitted or has no legal effect.,No
If someone uses land continuously without permission,Then it is generally permitted or legally valid.,Yes
If a handwritten note is a handwritten note always sufficient to transfer farmland ownership,Then it is generally not permitted or has no legal effect.,No
If something is farmland eligible for tax breaks if's kept in agricultural use,Then it is generally permitted or legally valid.,Yes
If someone is able to someone has a farmer claim ownership after 20 years of uncontested use,Then it is generally permitted or legally valid.,Yes
If someone is able to farm leases continue indefinitely without renewal clauses,Then it is generally not permitted or has no legal effect.,No
If someone makes an oral lease agreement for farmland,Then it is generally permitted or legally valid.,Yes
If farmland eligible for tax breaks if's kept in agricultural use,Then it is generally permitted or legally valid.,Yes
If someone might farmland be automatically rezoned to residential without someone has a hearing,Then it is generally not permitted or has no legal effect.,No
If someone is able to someone has a farmer claim ownership after 20 years of uncontested use,Then it is generally permitted or legally valid.,Yes
If something is farmland immune from eminent people domain proceedings,Then it is generally not permitted or has no legal effect.,No
If someone is able to someone has a minor legally transfer title of farmland without court involvement,Then it is generally not permitted or has no legal effect.,No
If someone might someone has a farmer claim ownership after 20 years of uncontested use,Then it is generally permitted or legally valid.,Yes
If someone might farm leases continue indefinitely without renewal clauses,Then it is generally not permitted or has no legal effect.,No
If something is agricultural land often exempt from some property development taxes,Then it is generally permitted or legally valid.,Yes
If something something people does owning adjacent land give someone has a person the right to farm another's land,Then it is generally not permitted or has no legal effect.,No
If someone has a handwritten note always sufficient to transfer farmland ownership,Then it is generally not permitted or has no legal effect.,No
If someone might farmland be automatically rezoned to residential without someone has a hearing,Then it is generally not permitted or has no legal effect.,No
If something is trespassing on private farmland allowed for environmental inspection without consent,Then it is generally not permitted or has no legal effect.,No
If something is farmland excluded from inheritance taxation under all circumstances,Then it is generally not permitted or has no legal effect.,No
If someone is able to someone has a minor legally transfer title of farmland without court involvement,Then it is generally not permitted or has no legal effect.,No
If something something people does someone has a failed escrow still transfer land ownership,Then it is generally not permitted or has no legal effect.,No
If farmland eligible for tax breaks if's kept in agricultural use,Then it is generally permitted or legally valid.,Yes
If someone is able to states impose use-value assessment to lower taxes on farmland,Then it is generally permitted or legally valid.,Yes
If farmland immune from eminent people domain proceedings,Then it is generally not permitted or has no legal effect.,No
If something is agricultural land often exempt from some property development taxes,Then it is generally permitted or legally valid.,Yes
If something something people does zoning laws affect the ability to convert farmland into commercial use,Then it is generally permitted or legally valid.,Yes
If someone might someone has a minor legally transfer title of farmland without court involvement,Then it is generally not permitted or has no legal effect.,No
If someone has a handwritten note always sufficient to transfer farmland ownership,Then it is generally not permitted or has no legal effect.,No
If agricultural land often exempt from some property development taxes,Then it is generally permitted or legally valid.,Yes
If someone is able to states impose use-value assessment to lower taxes on farmland,Then it is generally permitted or legally valid.,Yes
If something something people does failure to pay taxes never result in land forfeiture,Then it is generally not permitted or has no legal effect.,No
If farmland excluded from inheritance taxation under all circumstances,Then it is generally not permitted or has no legal effect.,No
If something something people does someone has a failed escrow still transfer land ownership,Then it is generally not permitted or has no legal effect.,No
If something is farmland immune from eminent people domain proceedings,Then it is generally not permitted or has no legal effect.,No
If something is farmland excluded from inheritance taxation under all circumstances,Then it is generally not permitted or has no legal effect.,No
If farmland immune from eminent people domain proceedings,Then it is generally not permitted or has no legal effect.,No
If someone is able to someone has a farmer claim ownership after 20 years of uncontested use,Then it is generally permitted or legally valid.,Yes
If a handwritten note is a handwritten note always sufficient to transfer farmland ownership,Then it is generally not permitted or has no legal effect.,No
If farmland eligible for tax breaks if's kept in agricultural use,Then it is generally permitted or legally valid.,Yes
If someone might farm leases continue indefinitely without renewal clauses,Then it is generally not permitted or has no legal effect.,No
If farmland excluded from inheritance taxation under all circumstances,Then it is generally not permitted or has no legal effect.,No
If someone has a handwritten note always sufficient to transfer farmland ownership,Then it is generally not permitted or has no legal effect.,No
If a conservation easement exists on the land,Then it is generally permitted or legally valid.,Yes
If someone makes an oral lease agreement for farmland,Then it is generally permitted or legally valid.,Yes
If someone uses land continuously without permission,Then it is generally permitted or legally valid.,Yes
If farmland eligible for tax breaks if's kept in agricultural use,Then it is generally permitted or legally valid.,Yes
If farmland eligible for tax breaks if's kept in agricultural use,Then it is generally permitted or legally valid.,Yes
If agricultural land often exempt from some property development taxes,Then it is generally permitted or legally valid.,Yes
If someone is able to someone has a minor legally transfer title of farmland without court involvement,Then it is generally not permitted or has no legal effect.,No
If someone is able to someone has a farmer claim ownership after 20 years of uncontested use,Then it is generally permitted or legally valid.,Yes
If a conservation easement exists on the land,Then it is generally permitted or legally valid.,Yes
If a handwritten note is a handwritten note always sufficient to transfer farmland ownership,Then it is generally not permitted or has no legal effect.,No
If something is farmland eligible for tax breaks if's kept in agricultural use,Then it is generally permitted or legally valid.,Yes
If a conservation easement exists on the land,Then it is generally permitted or legally valid.,Yes
If someone might someone has a farmer claim ownership after 20 years of uncontested use,Then it is generally permitted or legally valid.,Yes
If a handwritten note is a farmer entitled to compensation if government action results in loss of productive land,Then it is generally permitted or legally valid.,Yes
If someone has a farmer entitled to compensation if government action results in loss of productive land,Then it is generally permitted or legally valid.,Yes
If a handwritten note is a handwritten note always sufficient to transfer farmland ownership,Then it is generally not permitted or has no legal effect.,No
If something something people does someone has a failed escrow still transfer land ownership,Then it is generally not permitted or has no legal effect.,No
If someone is able to farmland be automatically rezoned to residential without someone has a hearing,Then it is generally not permitted or has no legal effect.,No
If farmland immune from eminent people domain proceedings,Then it is generally not permitted or has no legal effect.,No
If something something people does zoning laws affect the ability to convert farmland into commercial use,Then it is generally permitted or legally valid.,Yes
If something something people does failure to pay taxes never result in land forfeiture,Then it is generally not permitted or has no legal effect.,No
If someone is able to someone has a minor legally transfer title of farmland without court involvement,Then it is generally not permitted or has no legal effect.,No
If someone is able to farmland be automatically rezoned to residential without someone has a hearing,Then it is generally not permitted or has no legal effect.,No
If a conservation easement exists on the land,Then it is generally permitted or legally valid.,Yes
If a conservation easement exists on the land,Then it is generally permitted or legally valid.,Yes
If something is farmland immune from eminent people domain proceedings,Then it is generally not permitted or has no legal effect.,No
If something something people does failure to pay taxes never result in land forfeiture,Then it is generally not permitted or has no legal effect.,No
If something is agricultural land often exempt from some property development taxes,Then it is generally permitted or legally valid.,Yes
If someone might farm leases continue indefinitely without renewal clauses,Then it is generally not permitted or has no legal effect.,No
If someone is able to someone has a farmer claim ownership after 20 years of uncontested use,Then it is generally permitted or legally valid.,Yes
If a handwritten note is a farmer entitled to compensation if government action results in loss of productive land,Then it is generally permitted or legally valid.,Yes
If someone is able to someone has a farmer claim ownership after 20 years of uncontested use,Then it is generally permitted or legally valid.,Yes
If someone is able to farm leases continue indefinitely without renewal clauses,Then it is generally not permitted or has no legal effect.,No
If someone is able to someone has a minor legally transfer title of farmland without court involvement,Then it is generally not permitted or has no legal effect.,No
If someone might farmland be automatically rezoned to residential without someone has a hearing,Then it is generally not permitted or has no legal effect.,No
If someone might states impose use-value assessment to lower taxes on farmland,Then it is generally permitted or legally valid.,Yes
If something something people does zoning laws affect the ability to convert farmland into commercial use,Then it is generally permitted or legally valid.,Yes
If someone has a farmer entitled to compensation if government action results in loss of productive land,Then it is generally permitted or legally valid.,Yes
If a conservation easement exists on the land,Then it is generally permitted or legally valid.,Yes
If someone has a handwritten note always sufficient to transfer farmland ownership,Then it is generally not permitted or has no legal effect.,No
If something is farmland eligible for tax breaks if's kept in agricultural use,Then it is generally permitted or legally valid.,Yes
If a conservation easement exists on the land,Then it is generally permitted or legally valid.,Yes
If farmland excluded from inheritance taxation under all circumstances,Then it is generally not permitted or has no legal effect.,No
If something is farmland immune from eminent people domain proceedings,Then it is generally not permitted or has no legal effect.,No
If someone is able to someone has a minor legally transfer title of farmland without court involvement,Then it is generally not permitted or has no legal effect.,No
If someone is able to states impose use-value assessment to lower taxes on farmland,Then it is generally permitted or legally valid.,Yes
